money,ways,nodes
223,3335,362181
224,3335,368851
225,3595,375521
226,3595,383271
227,3595,390461
228,3595,397651
229,3595,404841
230,3870,412031
231,3870,420351
232,3870,428091
233,3870,435831
234,3870,443571
235,4160,451311
236,4160,460241
237,4160,468561
238,4160,476881
239,4160,485201
240,4465,493521
241,4465,503091
242,4465,512021
243,4465,520951
244,4465,529881
245,4785,538811
246,4785,549051
247,4785,558621
248,4785,568191
249,4785,577761
250,5126,587331
251,5126,598321
252,5126,608573
253,5126,618825
254,5126,629077
255,5482,639329
256,5482,651035
257,5482,661999
258,5482,672963
259,5482,683927
260,5859,694891
261,5859,707405
262,5859,719123
263,5859,730841
264,5859,742559
265,6251,754277
266,6251,767593
267,6251,780095
268,6251,792597
269,6251,805099
270,6664,817601
271,6664,831797
272,6664,845125
273,6664,858453
274,6664,871781
275,7098,885109
276,7098,900227
277,7098,914423
278,7098,928619
279,7098,942815
280,7553,957011
281,7553,973069
282,7553,988175
283,7553,1003281
284,7553,1018387
285,8029,1033493
286,8029,1050545
287,8029,1066603
288,8029,1082661
289,8029,1098719
290,8526,1114777
291,8526,1132865
292,8526,1149917
293,8526,1166969
294,8526,1184021
295,9044,1201073
296,9044,1220239
297,9044,1238327
298,9044,1256415
299,9044,1274503
300,9590,1292591
301,9590,1312935
302,9590,1332115
303,9590,1351295
304,9590,1370475
305,10157,1389655
306,10157,1411145
307,10157,1431459
308,10157,1451773
309,10157,1472087
310,10752,1492401
311,10752,1515151
312,10752,1536655
313,10752,1558159
314,10752,1579663
315,11368,1601167
316,11368,1625177
317,11368,1647913
318,11368,1670649
319,11368,1693385
320,12012,1716121
321,12012,1741489
322,12012,1765513
323,12012,1789537
324,12012,1813561
325,12684,1837585
326,12684,1864367
327,12684,1889735
328,12684,1915103
329,12684,1940471
330,13384,1965839
331,13384,1994063
332,13384,2020831
333,13384,2047599
334,13384,2074367
335,14112,2101135
336,14112,2130871
337,14112,2159095
338,14112,2187319
339,14112,2215543
340,14868,2243767
341,14868,2275071
342,14868,2304807
343,14868,2334543
344,14868,2364279
345,15652,2394015
346,15652,2426943
347,15652,2458247
348,15652,2489551
349,15652,2520855
350,16472,2552159
351,16472,2586833
352,16472,2619777
353,16472,2652721
354,16472,2685665
355,17320,2718609
356,17320,2755001
357,17320,2789641
358,17320,2824281
359,17320,2858921
360,18204,2893561
361,18204,2931809
362,18204,2968217
363,18204,3004625
364,18204,3041033
365,19116,3077441
366,19116,3117553
367,19116,3155785
368,19116,3194017
369,19116,3232249
370,20064,3270481
371,20064,3312577
372,20064,3352705
373,20064,3392833
374,20064,3432961
375,21048,3473089
376,21048,3517241
377,21048,3559337
378,21048,3601433
379,21048,3643529
380,22068,3685625
381,22068,3731873
382,22068,3776009
383,22068,3820145
384,22068,3864281
385,23124,3908417
386,23124,3956849
387,23124,4003097
388,23124,4049345
389,23124,4095593
390,24216,4141841
391,24216,4192529
392,24216,4240961
393,24216,4289393
394,24216,4337825
395,25344,4386257
396,25344,4439273
397,25344,4489961
398,25344,4540649
399,25344,4591337
400,26517,4642025
401,26517,4697515
402,26517,4750549
403,26517,4803583
404,26517,4856617
405,27726,4909651
406,27726,4967593
407,27726,5023045
408,27726,5078497
409,27726,5133949
410,28980,5189401
411,28980,5249959
412,28980,5307919
413,28980,5365879
414,28980,5423839
415,30270,5481799
416,30270,5544991
417,30270,5605531
418,30270,5666071
419,30270,5726611
420,31605,5787151
421,31605,5853121
422,31605,5916331
423,31605,5979541
424,31605,6042751
425,32985,6105961
426,32985,6174799
427,32985,6240769
428,32985,6306739
429,32985,6372709
430,34410,6438679
431,34410,6510439
432,34410,6579259
433,34410,6648079
434,34410,6716899
435,35880,6785719
436,35880,6860509
437,35880,6932269
438,35880,7004029
439,35880,7075789
440,37395,7147549
441,37395,7225459
442,37395,7300249
443,37395,7375039
444,37395,7449829
445,38955,7524619
446,38955,7605739
447,38955,7683649
448,38955,7761559
449,38955,7839469
450,40570,7917379
451,40570,8001881
452,40570,8083021
453,40570,8164161
454,40570,8245301
455,42230,8326441
456,42230,8414311
457,42230,8498771
458,42230,8583231
459,42230,8667691
460,43945,8752151
461,43945,8843581
462,43945,8931471
463,43945,9019361
464,43945,9107251
465,45705,9195141
466,45705,9290161
467,45705,9381571
468,45705,9472981
469,45705,9564391
470,47520,9655801
471,47520,9754581
472,47520,9849621
473,47520,9944661
474,47520,10039701
475,49390,10134741
476,49390,10237391
477,49390,10336171
478,49390,10434951
479,49390,10533731
480,51315,10632511
481,51315,10739101
482,51315,10841731
483,51315,10944361
484,51315,11046991
485,53295,11149621
486,53295,11260281
487,53295,11366871
488,53295,11473461
489,53295,11580051
490,55330,11686641
491,55330,11801481
492,55330,11912141
493,55330,12022801
494,55330,12133461
495,57420,12244121
496,57420,12363251
497,57420,12478091
498,57420,12592931
499,57420,12707771
500,59576,12822611
501,59576,12946231
502,59576,13065383
503,59576,13184535
504,59576,13303687
505,61787,13422839
506,61787,13550945
507,61787,13674519
508,61787,13798093
509,61787,13921667
510,64064,14045241
511,64064,14178055
512,64064,14306183
513,64064,14434311
514,64064,14562439
515,66396,14690567
516,66396,14828133
517,66396,14960925
518,66396,15093717
519,66396,15226509
520,68794,15359301
521,68794,15501817
522,68794,15639405
523,68794,15776993
524,68794,15914581
525,71258,16052169
526,71258,16199767
527,71258,16342283
528,71258,16484799
529,71258,16627315
530,73788,16769831
531,73788,16922599
532,73788,17070175
533,73788,17217751
534,73788,17365327
535,76384,17512903
536,76384,17670995
537,76384,17823763
538,76384,17976531
539,76384,18129299
540,79046,18282067
541,79046,18445615
542,79046,18603707
543,79046,18761799
544,79046,18919891
545,81774,19077983
546,81774,19247119
547,81774,19410667
548,81774,19574215
549,81774,19737763
550,84580,19901311
551,84580,20076265
552,84580,20245425
553,84580,20414585
554,84580,20583745
555,87452,20752905
556,87452,20933685
557,87452,21108589
558,87452,21283493
559,87452,21458397
560,90402,21633301
561,90402,21820161
562,90402,22000965
563,90402,22181769
564,90402,22362573
565,93418,22543377
566,93418,22736377
567,93418,22923213
568,93418,23110049
569,93418,23296885
570,96512,23483721
571,96512,23683089
572,96512,23876113
573,96512,24069137
574,96512,24262161
575,99684,24455185
576,99684,24661077
577,99684,24860445
578,99684,25059813
579,99684,25259181
580,102934,25458549
581,102934,25671073
582,102934,25876941
583,102934,26082809
584,102934,26288677
585,106262,26494545
586,106262,26713881
587,106262,26926405
588,106262,27138929
589,106262,27351453
590,109668,27563977
591,109668,27790281
592,109668,28009617
593,109668,28228953
594,109668,28448289
595,113152,28667625
596,113152,28901053
597,113152,29127357
598,113152,29353661
599,113152,29579965
600,116727,29806269
601,116727,30047083
602,116727,30280537
603,116727,30513991
604,116727,30747445
605,120380,30980899
606,120380,31229121
607,120380,31469881
608,120380,31710641
609,120380,31951401
610,124124,32192161
611,124124,32448079
612,124124,32696327
613,124124,32944575
614,124124,33192823
615,127946,33441071
616,127946,33704763
617,127946,33960655
618,127946,34216547
619,127946,34472439
620,131859,34728331
621,131859,35000057
622,131859,35263775
623,131859,35527493
624,131859,35791211
625,135863,36054929
626,135863,36334871
627,135863,36606597
628,135863,36878323
629,135863,37150049
630,139958,37421775
631,139958,37710063
632,139958,37989979
633,139958,38269895
634,139958,38549811
635,144144,38829727
636,144144,39126569
637,144144,39414857
638,144144,39703145
639,144144,39991433
640,148421,40279721
641,148421,40585299
642,148421,40882141
643,148421,41178983
644,148421,41475825
645,152789,41772667
646,152789,42087163
647,152789,42392741
648,152789,42698319
649,152789,43003897
650,157262,43309475
651,157262,43633185
652,157262,43947709
653,157262,44262233
654,157262,44576757
655,161826,44891281
656,161826,45224243
657,161826,45547895
658,161826,45871547
659,161826,46195199
660,166495,46518851
661,166495,46861389
662,166495,47194379
663,166495,47527369
664,166495,47860359
665,171255,48193349
666,171255,48545561
667,171255,48888071
668,171255,49230581
669,171255,49573091
670,176120,49915601
671,176120,50277781
672,176120,50630021
673,176120,50982261
674,176120,51334501
675,181090,51686741
676,181090,52059099
677,181090,52421279
678,181090,52783459
679,181090,53145639
680,186165,53507819
681,186165,53890509
682,186165,54262839
683,186165,54635169
684,186165,55007499
685,191345,55379829
686,191345,55773089
687,191345,56155779
688,191345,56538469
689,191345,56921159
690,196630,57303849
691,196630,57707889
692,196630,58101149
693,196630,58494409
694,196630,58887669
695,202020,59280929
696,202020,59695959
697,202020,60099999
698,202020,60504039
699,202020,60908079
700,207530,61312119
701,207530,61738471
702,207530,62153531
703,207530,62568591
704,207530,62983651
705,213145,63398711
706,213145,63836441
707,213145,64262731
708,213145,64689021
709,213145,65115311
710,218880,65541601
711,218880,65991071
712,218880,66428831
713,218880,66866591
714,218880,67304351
715,224720,67742111
716,224720,68203441
717,224720,68652881
718,224720,69102321
719,224720,69551761
720,230680,70001201
721,230680,70474721
722,230680,70936081
723,230680,71397441
724,230680,71858801
725,236760,72320161
726,236760,72806111
727,236760,73279631
728,236760,73753151
729,236760,74226671
730,242960,74700191
731,242960,75198751
732,242960,75684671
733,242960,76170591
734,242960,76656511
735,249280,77142431
736,249280,77653871
737,249280,78152431
738,249280,78650991
739,249280,79149551
740,255720,79648111
741,255720,80172671
742,255720,80684111
743,255720,81195551
744,255720,81706991
745,262280,82218431
746,262280,82756351
747,262280,83280911
748,262280,83805471
749,262280,84330031
750,268976,84854591
751,268976,85406241
752,268976,85944193
753,268976,86482145
754,268976,87020097
755,275792,87558049
756,275792,88123505
757,275792,88675089
758,275792,89226673
759,275792,89778257
760,282744,90329841
761,282744,90909505
762,282744,91474993
763,282744,92040481
764,282744,92605969
765,289816,93171457
766,289816,93765473
767,289816,94345105
768,289816,94924737
769,289816,95504369
770,297024,96084001
771,297024,96692737
772,297024,97286785
773,297024,97880833
774,297024,98474881
775,304368,99068929
776,304368,99692657
777,304368,100301393
778,304368,100910129
779,304368,101518865
780,311848,102127601
781,311848,102766529
782,311848,103390225
783,311848,104013921
784,311848,104637617
785,319464,105261313
786,319464,105915745
787,319464,106554673
788,319464,107193601
789,319464,107832529
790,327216,108471457
791,327216,109141665
792,327216,109796097
793,327216,110450529
794,327216,111104961
795,335104,111759393
796,335104,112445649
797,335104,113115857
798,335104,113786065
799,335104,114456273
800,343145,115126481
801,343145,115829195
802,343145,116515485
803,343145,117201775
804,343145,117888065
805,351322,118574355
806,351322,119293625
807,351322,119996269
808,351322,120698913
809,351322,121401557
810,359652,122104201
811,359652,122840471
812,359652,123559775
813,359652,124279079
814,359652,124998383
815,368118,125717687
816,368118,126471127
817,368118,127207363
818,368118,127943599
819,368118,128679835
820,376737,129416071
821,376737,130187089
822,376737,130940563
823,376737,131694037
824,376737,132447511
825,385509,133200985
826,385509,133989887
827,385509,134760905
828,385509,135531923
829,385509,136302941
830,394434,137073959
831,394434,137880983
832,394434,138669851
833,394434,139458719
834,394434,140247587
835,403512,141036455
836,403512,141861941
837,403512,142668965
838,403512,143475989
839,403512,144283013
840,412743,145090037
841,412743,145934291
842,412743,146759777
843,412743,147585263
844,412743,148410749
845,422127,149236235
846,422127,150099563
847,422127,150943817
848,422127,151788071
849,422127,152632325
850,431682,153476579
851,431682,154359433
852,431682,155222797
853,431682,156086161
854,431682,156949525
855,441390,157812889
856,441390,158715391
857,441390,159598171
858,441390,160480951
859,441390,161363731
860,451269,162246511
861,451269,163169149
862,451269,164071687
863,451269,164974225
864,451269,165876763
865,461301,166779301
866,461301,167722273
867,461301,168644875
868,461301,169567477
869,461301,170490079
870,471504,171412681
871,471504,172376437
872,471504,173319445
873,471504,174262453
874,471504,175205461
875,481878,176148469
876,481878,177133351
877,481878,178097107
878,481878,179060863
879,481878,180024619
880,492423,180988375
881,492423,181994653
882,492423,182979499
883,492423,183964345
884,492423,184949191
885,503139,185934037
886,503139,186962089
887,503139,187968367
888,503139,188974645
889,503139,189980923
890,514026,190987201
891,514026,192037369
892,514026,193065421
893,514026,194093473
894,514026,195121525
895,525084,196149577
896,525084,197222203
897,525084,198272371
898,525084,199322539
899,525084,200372707
900,536332,201422875
901,536332,202518455
902,536332,203591119
903,536332,204663783
904,536332,205736447
905,547751,206809111
906,547751,207927793
907,547751,209023295
908,547751,210118797
909,547751,211214299
910,559360,212309801
911,559360,213452119
912,559360,214570839
913,559360,215689559
914,559360,216808279
915,571140,217926999
916,571140,219093181
917,571140,220235461
918,571140,221377741
919,571140,222520021
920,583110,223662301
921,583110,224852841
922,583110,226019061
923,583110,227185281
924,583110,228351501
925,595270,229517721
926,595270,230732999
927,595270,231923539
928,595270,233114079
929,595270,234304619
930,607620,235495159
931,607620,236735479
932,607620,237950719
933,607620,239165959
934,607620,240381199
935,620160,241596439
936,620160,242862219
937,620160,244102539
938,620160,245342859
939,620160,246583179
940,632890,247823499
941,632890,249115119
942,632890,250380899
943,632890,251646679
944,632890,252912459
945,645810,254178239
946,645810,255496079
947,645810,256787699
948,645810,258079319
949,645810,259370939
950,658940,260662559
951,658940,262007161
952,658940,263325041
953,658940,264642921
954,658940,265960801
955,672260,267278681
956,672260,268650221
957,672260,269994741
958,672260,271339261
959,672260,272683781
960,685790,274028301
961,685790,275427361
962,685790,276798941
963,685790,278170521
964,685790,279542101
965,699510,280913681
966,699510,282340521
967,699510,283739541
968,699510,285138561
969,699510,286537581
970,713440,287936601
971,713440,289391761
972,713440,290818641
973,713440,292245521
974,713440,293672401
975,727580,295099281
976,727580,296583181
977,727580,298038341
978,727580,299493501
979,727580,300948661
980,741930,302403821
981,741930,303916801
982,741930,305400661
983,741930,306884521
984,741930,308368381
985,756490,309852241
986,756490,311394761
987,756490,312907741
988,756490,314420721
989,756490,315933701
990,771260,317446681
991,771260,319019161
992,771260,320561681
993,771260,322104201
994,771260,323646721
995,786240,325189241
996,786240,326792101
997,786240,328364581
998,786240,329937061
999,786240,331509541
1000,801451,333082021
